type,name,url
图片区,卡通动漫,https://3344xg.com/tupianqu/katong/
图片区,亚洲图片,https://3344xg.com/tupianqu/yazhou/
图片区,欧美图片,https://3344xg.com/tupianqu/oumei/
图片区,偷拍自拍,https://3344xg.com/tupianqu/zipai/
图片区,乱伦熟女,https://3344xg.com/tupianqu/luanlun/
图片区,精品套图,https://3344xg.com/tupianqu/taotu/
图片区,同性美图,https://3344xg.com/tupianqu/tongxing/
图片区,美腿丝袜,https://3344xg.com/tupianqu/siwa/
小说区,情感小说,https://3344xg.com/xiaoshuoqu/qinggan/
小说区,校园春色,https://3344xg.com/xiaoshuoqu/xiaoyuan/
小说区,人妻女友,https://3344xg.com/xiaoshuoqu/renqi/
小说区,武侠古典,https://3344xg.com/xiaoshuoqu/wuxia/
小说区,家庭乱伦,https://3344xg.com/xiaoshuoqu/luanlun/
小说区,另类小说,https://3344xg.com/xiaoshuoqu/linglei/
小说区,情色笑话,https://3344xg.com/xiaoshuoqu/xiaohua/
小说区,性爱技巧,https://3344xg.com/xiaoshuoqu/jiqiao/
电影区,亚洲电影,https://3344xg.com/dianyingqu/yzfl/
电影区,欧美电影,https://3344xg.com/dianyingqu/omfl/
电影区,经典三级,https://3344xg.com/dianyingqu/sjfl/
电影区,偷拍自拍,https://3344xg.com/dianyingqu/tpfl/
电影区,动漫电影,https://3344xg.com/dianyingqu/dmfl/
电影区,乱伦电影,https://3344xg.com/dianyingqu/llfl/
电影区,变态另类,https://3344xg.com/dianyingqu/btfl/
电影区,全部电影,https://3344xg.com/dianyingqu/
